实体,类型,,,,
查理定律,物理知识,,,,
盖-吕萨克定律,物理知识,,,,
道尔顿定律,物理知识,,,,
高压,物理知识,,,,
压力本身对机体的机械作用,物理知识,,,,
均匀受压,物理知识,,,,
不均匀受压,物理知识,,,,
腔室（空间）内气压过低,物理知识,,,,
腔室（空间）内气压过高,物理知识,,,,
高气压对机体各系统的影响,物理知识,,,,
对血液循环系统的影响,物理知识,,,,
对心血管系统的影响,物理知识,,,,
对呼吸系统的影响,物理知识,,,,
对消化系统的影响,物理知识,,,,
对泌尿系统的影响,物理知识,,,,
对神经系统的影响,物理知识,,,, 
对语音的影响,物理知识,,,,
对代谢的影响,物理知识,,,,
水温,物理知识,,,,
阻力,物理知识,,,,
浮力,物理知识,,,,
稳度,物理知识,,,,
视觉,物理知识,,,,
视力减弱,物理知识,,,,
视野缩小,物理知识,,,,
空间视觉改变,物理知识,,,,
水下色觉改变,物理知识,,,,
空间能见度降低,物理知识,,,,
水下能见度降低,物理知识,,,,
能见度0级,物理知识,,,,
能见度1级,物理知识,,,,
能见度2级,物理知识,,,,
能见度3级,物理知识,,,,
能见度4级,物理知识,,,,
能见度5级,物理知识,,,,
能见度6级,物理知识,,,,
能见度7级,物理知识,,,,
水中能见度等级,物理知识,,,,
薄式风级表,物理知识,,,,
风级0,物理知识,,,,
风级1,物理知识,,,,
风级2,物理知识,,,,
风级3,物理知识,,,,
风级4,物理知识,,,,
风级5,物理知识,,,,
风级6,物理知识,,,,
风级7,物理知识,,,,
风级8,物理知识,,,,
风级9,物理知识,,,,
风级10,物理知识,,,,
风级11,物理知识,,,,
风级12,物理知识,,,,
听觉,物理知识,,,,
水下环境对机体的其他影响因素,物理知识,,,,
潜水疾病,疾病,,,,
潜水减压病,疾病,,,,
Ⅰ型减压病,疾病,,,,
Ⅱ型减压病,疾病,,,,
轻型(减压病),疾病,,,,
中度型型(减压病),疾病,,,,
重型(减压病),疾病,,,,
急性减压病,疾病,,,,
慢性减压病,疾病,,,,
潜水减压病治疗,方法,,,,
潜水减压病治疗（加压治疗）,方法,,,,
潜水减压病治疗（辅助治疗）,方法,,,,
吸氧,方法,,,,
药物疗法,方法,,,,
物理疗法,方法,,,,
支持疗法,方法,,,,
中枢兴奋药,方法,,,,
神经营养药,方法,,,,
血容量补充剂,方法,,,,
止痛剂,方法,,,,
抗菌药物,方法,,,,
潜水减压病预防,方法,,,,
气压伤,疾病,,,,
肺气压伤,疾病,,,,
中耳气压伤,疾病,,,,
鼻窦气压伤,疾病,,,,
面部挤压伤,疾病,,,,
潜水减压病症状,症状,,,,
潜水减压病症状（皮肤）,症状,,,,
潜水减压病症状（关节和肌肉）,症状,,,,
潜水减压病症状（神经系统）,症状,,,,
潜水减压病症状（循环系统）,症状,,,,
潜水减压病症状（呼吸系统）,症状,,,,
潜水减压病症状（腹部内脏）,症状,,,,
肺气压伤症状,症状,,,,
肺气压伤症状（肺出血和咯血）,症状,,,,
肺气压伤症状（胸痛、浅促呼吸、咳嗽）,症状,,,,
肺气压伤症状（中枢神经系统功能异常）,症状,,,,
肺气压伤症状（循环功能障碍）,症状,,,,
肺气压伤症状（其他脏器功能异常）,症状,,,,
肺气压伤症状（纵隔气肿）,症状,,,,
肺气压伤症状（皮下气肿）,症状,,,,
肺气压伤症状（气腹）,症状,,,,
肺气压伤症状（气胸）,症状,,,,
肺气压伤治疗（加压治疗）,方法,,,,
肺气压伤治疗（对症治疗）,方法,,,,
肺气压伤治疗,方法,,,,
肺气压伤预防,方法,,,,
肺气压伤预防（加强教育）,方法,,,,
肺气压伤预防（严格适应性检查）,方法,,,,
肺气压伤预防（避免减压时肺内压过高）,方法,,,,
中耳气压伤原因,疾病,,,,
中耳气压伤原因（病理性）,疾病,,,,
中耳气压伤原因（非病理性）,疾病,,,,
中耳气压伤症状,症状,,,,
中耳气压伤症状（下潜或加压时）,症状,,,,
中耳气压伤症状（上升或减压时）,症状,,,,
中耳气压伤治疗,方法,,,,
中耳气压伤预防,方法,,,,
中耳气压伤治疗（鼓膜未破）,方法,,,,
中耳气压伤治疗（鼓膜已破）,方法,,,,
中耳气压伤预防（严格体检）,方法,,,,
中耳气压伤预防（掌握咽鼓管开张法）,方法,,,,
中耳气压伤预防（控制下潜和上升速度）,方法,,,,
中耳气压伤预防（处理诱因）,方法,,,,
中耳气压伤预防（加压锻炼）,方法,,,,
鼻窦气压伤症状,症状,,,,
鼻窦气压伤治疗,方法,,,,
鼻窦气压伤预防,方法,,,,
面部挤压伤症状,症状,,,,
面部挤压伤治疗,方法,,,,
面部挤压伤预防,方法,,,,
缺氧症,疾病,,,,
缺氧症症状,症状,,,,
缺氧症治疗,方法,,,,
缺氧症预防,方法,,,,
急性氧中毒（神经型氧中毒）症状,症状,,,,
慢性氧中毒（肺型氧中毒）症状,症状,,,,
氧中毒治疗,方法,,,,
氧中毒预防,方法,,,,
不同深度处氧气潜水潜水员水下停留时间极限,物理知识,,,,
不同深度处氧气潜水潜水员水下停留时间极限_水深3m,物理知识,,,,
不同深度处氧气潜水潜水员水下停留时间极限_水深4.5m,物理知识,,,,
不同深度处氧气潜水潜水员水下停留时间极限_水深6m,物理知识,,,,
不同深度处氧气潜水潜水员水下停留时间极限_水深7.5m,物理知识,,,,
不同深度处氧气潜水潜水员水下停留时间极限_水深9m,物理知识,,,,
CO2中毒,疾病,,,,
CO2中毒症状,症状,,,,
CO2中毒症状（呼吸困难期）,症状,,,,
CO2中毒症状（呼气痊挛期）,症状,,,,
CO2中毒症状（麻醉期）,症状,,,,
CO2中毒治疗,方法,,,,
CO2中毒预防,方法,,,,
氮麻醉症状,症状,,,,
不同氮分压与氮麻醉的相应症状和体征,症状,,,,
不同氮分压与氮麻醉的相应症状和体征_深度30m_氮分压3.2atm,症状,,,,
不同氮分压与氮麻醉的相应症状和体征_深度50m_氮分压4.8atm,症状,,,,
不同氮分压与氮麻醉的相应症状和体征_深度70m_氮分压6.4atm,症状,,,,
不同氮分压与氮麻醉的相应症状和体征_深度90m_氮分压8.0atm,症状,,,,
不同氮分压与氮麻醉的相应症状和体征_深度>100m_氮分压8.8atm,症状,,,,
氮麻醉治疗,方法,,,,
放漂后的处理,方法,,,,
需要减压出水的潜水人员发生放漂后的处理,方法,,,,
不需要减压出水时潜水员发生放漂的处理,方法,,,,
放漂预防,方法,,,,
淹溺症状,症状,,,,
淹溺症状（呼吸系统）,症状,,,,
淹溺症状（循环系统）,症状,,,,
淹溺症状（神经系统）,症状,,,,
淹溺症状（消化系统）,症状,,,,
淹溺症状（泌尿系统）,症状,,,,
淹溺治疗,方法,,,,
淹溺治疗（保持呼吸道通畅）,方法,,,,
淹溺治疗（倒出呼吸道和胃内积水）,方法,,,,
淹溺治疗（心肺复苏）,方法,,,,
淹溺预防,方法,,,,
鲨鱼袭击,疾病,,,,
水母蛰伤,疾病,,,,
海蛇咬伤,疾病,,,,
有毒鱼类致伤,疾病,,,,
珊瑚类、海葵类致伤中毒,疾病,,,,
棘皮动物致伤中毒,疾病,,,,
几种常见噬人鲨鱼的形态、习性及其分布,其他,,,,
大白鲨,其他,,,,
麦克鲨,其他,,,,
锤头双髻鲨,其他,,,,
虎鲨,其他,,,,
恒河鲨,其他,,,,
灰鳍鲨,其他,,,,
大青鲨,其他,,,,
居式鼬鲨,其他,,,,
鲨鱼的生理特征,其他,,,,
鲨鱼袭击治疗,方法,,,,
鲨鱼袭击治疗（控制休克）,方法,,,,
鲨鱼袭击治疗（止血）,方法,,,,
鲨鱼袭击预防,方法,,,,
水母蛰伤症状,症状,,,,
鲨鱼袭击症状,症状,,,,
水母蛰伤症状（局部反应）,症状,,,,
水母蛰伤症状（全身反应）,症状,,,,
水母蛰伤治疗（蛰伤后的处理）,方法,,,,
水母蛰伤治疗（对局部反应的处理）,方法,,,,
水母蛰伤治疗（对全身反应的处理）,方法,,,,
水母蛰伤治疗,方法,,,,
水母蛰伤预防,方法,,,,
我国沿海常见海蛇的形态、习性及其分布,其他,,,,
黑尾海蛇(海蝰),其他,,,,
黄腹海蛇（青灰海蛇、花海蛇）,其他,,,,
黑头海蛇,其他,,,,
斑海蛇（青环蛇、海青蛇）,其他,,,,
棘海蛇(刺海蛇、平颈蛇),其他,,,,
海蛇咬伤症状,症状,,,,
海蛇咬伤治疗,方法,,,,
海蛇咬伤预防,方法,,,,
有毒鱼类致伤症状,症状,,,,
有毒鱼类致伤症状（局部表现）,症状,,,,
有毒鱼类致伤症状（全身表现）,症状,,,,
有毒鱼类致伤治疗,方法,,,,
有毒鱼类致伤预防,方法,,,,
珊瑚类、海葵类致伤中毒症状,症状,,,,
珊瑚类、海葵类致伤中毒治疗,方法,,,,
棘皮动物致伤中毒症状,症状,,,,
棘皮动物致伤中毒治疗,方法,,,,
棘皮动物致伤中毒预防,方法,,,,
